found,company,score,signals,why,evidence_url,more_evidence,website,location,sources,quote
2026-09-25,Wirtschaftsgenossenschaft deutscher Tierärzte eG,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI-Koordinator (m/w/d)"" | +30 ""KI-Koordinator (m/w/d)"" mentions KI-Einführung, Microsoft Copilot, an internal AI strategy, AI for the whole company | +20 ""KI-Koordinator (m/w/d)"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""300 Mitarbeitern"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003759628-S,,,"Garbsen, DEUTSCHLAND",bundesagentur,"...eschaffene Position mit Gestaltungsspielraum und der Möglichkeit, den Einsatz von Künstlicher Intelligenz im Unternehmen aktiv mitzugestalten - Ein sicherer Arbeitsplatz mit attraktivem Geha..."
2026-09-25,TÜV SÜD AG,80,ai_owner;rollout;size,"+40 hiring ""Head of AI Trust & Tech Law (w/m/d)"" | +30 ""Head of AI Trust & Tech Law (w/m/d)"" mentions AI for the whole company | +10 looks mid-size or large (post says ""30.000 Mitarbeitenden"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003751595-S,,,"München, DEUTSCHLAND",bundesagentur,"...d Geschäftsbereiche - Beratung zu rechtlichen Fragestellungen rund um Künstliche Intelligenz, digitale Technologien und Datennutzung - Begleitung konzernweiter Transformations-, Digitalisierungs- und Innovationsinitiativen - Beri..."
2026-09-25,Sunday Natural,60,rollout;gdpr_ai;size,"+30 ""(Senior) AI/ML Engineer (all genders)"" mentions AI for the whole company | +20 ""(Senior) AI/ML Engineer (all genders)"" mentions GDPR next to AI | +10 looks mid-size or large (11 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/sunday-natural/senior-ai-ml-engineer-all-genders-berlin-13734,https://www.arbeitnow.com/jobs/companies/sunday-natural/brand-designer-all-genders-berlin-301230,,Berlin,arbeitnow,"...ral Data Platform team and take ownership of the machine learning and GenAI infrastructure that powers advanced analytics and AI use cases across the organization. In this role, you will design, build, and maintain end to end ML pip..."
2026-09-25,Kuhn & Partner Rechtsanwälte Steuerberater Wirtschaftsprüfer mbB,50,ai_owner;size,"+40 hiring ""Fachassistent Digitalisierung und IT-Prozesse (FAIT)"" | +10 looks mid-size or large (post says ""Standorten"", heuristic)",https://www.arbeitnow.com/jobs/companies/kuhn-partner-rechtsanwalte-steuerberater-wirtschaftsprufer-mbb/fachassistent-digitalisierung-und-it-prozesse-fait-nackenheim-96389,https://www.arbeitnow.com/jobs/companies/kuhn-partner-rechtsanwalte-steuerberater-wirtschaftsprufer-mbb/fachassistent-digitalisierung-und-it-prozesse-fait-frankfurt-am-main-17899,,Nackenheim; Frankfurt am Main,arbeitnow,
2026-09-25,Stackfuel,40,rollout;size,"+30 ""Analytics Engineer (w/m/d)"" mentions an internal AI strategy | +10 looks mid-size or large (8 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/stackfuel/analytics-engineer-berlin-221830,,,Berlin; Remote - Germany; Munich,arbeitnow,"...n Nebenprodukt, sondern ein zentraler Erfolgsfaktor und das Fundament unserer KI-Strategie. Als Analytics Engineer (m/w/d) bist du die treibende Kraft hinter un..."
2026-09-25,think about IT GmbH,40,rollout;size,"+30 ""Senior Microsoft AI & Copilot Engineer (m/w/d)"" mentions Microsoft Copilot, AI governance | +10 looks mid-size or large (8 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/senior-microsoft-ai-copilot-engineer-nuremberg-375370,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/service-desk-spezialist-onsite-in-koln-cologne-383036,,Cologne; Nuremberg; Bochum,arbeitnow,"...twicklung und Implementierung intelligenter KI-Lösungen auf Basis von Microsoft Copilot, Azure AI und souveränen KI-Technologien zur produktiven und sicheren..."
2026-09-25,ZeinPharma Germany GmbH,40,rollout;size,"+30 ""AI Content & Design Creator (m/w/d)"" mentions KI-Einführung | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitnow.com/jobs/companies/zeinpharma-germany-gmbh/ai-content-design-creator-russelsheim-54379,,,Rüsselsheim,arbeitnow,"...nway, Sora, CapCut AI o. Ä.) für Social Media und Ads Evaluierung und Einführung neuer KI-Tools für Design, Content und Automatisierung Sicherstellung von Mark..."
2026-09-25,3E,30,rollout,"+30 ""HR Intern"" mentions Microsoft Copilot",https://www.arbeitnow.com/jobs/companies/3e/hr-intern-markdorf-410129,,,Germany,arbeitnow,"...igh-quality support. We encourage the use of AI-enabled tools such as Microsoft Copilot and ChatGPT to support research, documentation, and productivity whil..."
2026-09-25,BIK BSB Service GmbH,30,rollout,"+30 ""Kaufmännischer Mitarbeiter (m/w/d) mit KI-Affinität"" mentions Microsoft Copilot",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003764008-S,,,"Waltrop, DEUTSCHLAND",bundesagentur,"...gien - Idealerweise bereits Erfahrung mit KI-Anwendungen wie ChatGPT, Microsoft Copilot oder vergleichbaren Lösungen - Fähigkeit, auch umfangreiche Dokumente..."
2026-09-25,Cosuno,30,rollout,"+30 ""Office Manager (m/w/d) - mit Perspektive People Operations"" mentions AI for the whole company",https://www.arbeitnow.com/jobs/companies/cosuno/office-manager-mit-perspektive-people-operations-berlin-on-site-194572,,,Berlin (on-site),arbeitnow,"...zu lösen. Einfache, verlässliche Abläufe zu bauen, ist Teil des Jobs. AI als tägliches Werkzeug: Wir nutzen KI-Tools wie Claude unternehmensweit. Ob Textentwurf, Checkliste oder Auswertung – wir erwarten, dass du K..."
