found,company,score,signals,why,evidence_url,more_evidence,website,location,sources,quote
2026-09-23,capco,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""AI Governance & Regulatory Risk Expert* (m/w/d)"" | +30 ""AI Governance & Regulatory Risk Expert* (m/w/d)"" mentions AI governance | +20 ""AI Governance & Regulatory Risk Expert* (m/w/d)"" mentions EU AI Act next to AI | +10 looks mid-size or large (6 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/capco/ai-governance-regulatory-risk-expert-150937,https://www.arbeitnow.com/jobs/companies/capco/senior-consultant-securities-custody-operations-355681 https://www.arbeitnow.com/jobs/companies/capco/ai-governance-regulatory-risk-expert-122654 https://www.arbeitnow.com/jobs/companies/capco/ai-governance-regulatory-risk-expert-196432 https://www.arbeitnow.com/jobs/companies/capco/ai-governance-regulatory-risk-expert-419280,,,arbeitnow,...latorischen Anforderungen bis zur wirksamen Governance. Die Rolle Als AI Governance & Regulatory Risk Expert (m/w/d) unterstützt Du führende Banken und...
2026-09-23,Almedia,80,ai_owner;rollout;size,"+40 hiring ""AI Operations Specialist"" | +30 ""AI Operations Specialist"" mentions AI for the whole company | +10 looks mid-size or large (5 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/almedia/ai-operations-specialist-berlin-150775,,,Berlin,arbeitnow,...trong and hands-on - a hard worker who can actively drive and execute AI initiatives across teams. You will not only shape strategy but also help translate AI opportun...
2026-09-23,Rohlik,80,ai_owner;rollout;size,"+40 hiring ""Head of Finance Automation/ AI Agentification"" | +30 ""Head of Finance Automation/ AI Agentification"" mentions AI for the whole company | +10 looks mid-size or large (7 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/rohlik/head-of-finance-automation-ai-agentification-munich-20322,https://www.arbeitnow.com/jobs/companies/rohlik/robot-learning-engineer-munich-181259,,"München, Germany; Schönefeld bei Berlin, Germany; Bischofsheim bei Frankfurt, Germany",arbeitnow,...e it deliver at scale. Role Overview This is a new role that owns how AI and automation reshape the finance operating model across the Group. You will take a programme that is already live across procure to pay...
2026-09-23,Artefact,70,ai_owner;gdpr_ai;size,"+40 hiring ""Consulting Manager (m/f/d) Data & AI Strategy"" | +20 ""Consulting Manager (m/f/d) Data & AI Strategy"" mentions data privacy next to AI | +10 looks mid-size or large (3 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/artefact/consulting-manager-data-ai-strategy-berlin-berlin-munchen-bavaria-456124,https://www.arbeitnow.com/jobs/companies/artefact/senior-consultant-daten-ki-strategie-berlin-berlin-munchen-bavaria-363672,,"Berlin, Berlin; München, Bavaria",arbeitnow,
2026-09-23,Edri,50,rollout;gdpr_ai,"+30 ""Working Student AI Enablement (m/f/d)"" mentions AI for the whole company, AI enablement / training for staff, a student role in AI enablement | +20 ""Working Student AI Enablement (m/f/d)"" mentions EU AI Act next to AI",https://www.arbeitnow.com/jobs/companies/edri/working-student-ai-enablement-essen-2252,,,Essen,arbeitnow,Your mission Help design the EDRI AI curriculum: a role-based structure from a company-wide baseline to department-specific deep dives Build the first full cours...
2026-09-23,GRIMME Landmaschinenfabrik SE & Co. KG,50,ai_owner;size,"+40 hiring ""AI Transformation Specialist (m/w/d)"" | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/16371-44458879-922-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4945916018-S,,"Damme, Dümmer, DEUTSCHLAND",bundesagentur,
2026-09-23,HFB Steuerberatungsgesellschaft mbH,40,ai_owner,"+40 hiring ""Prozess- & KI-Manager (m/w/d) (Vollzeit/Teilzeit)""",https://www.arbeitsagentur.de/jobsuche/jobdetail/12287-JOB-859065-S,,,"Olpe, Biggesee, DEUTSCHLAND",bundesagentur,
2026-09-23,plancraft,40,rollout;size,"+30 ""(Senior) People Operations & Excellence Manager (f/m/d)"" mentions AI enablement / training for staff | +10 looks mid-size or large (post says ""160+ employees"", heuristic)",https://www.arbeitnow.com/jobs/companies/plancraft/senior-people-operations-excellence-manager-hamburg-213283,,,Hamburg (hybrid),arbeitnow,...ablement formats. Our goal is to help you unlock your full potential. AI Enablement : Our internal tools and workflows are AI-enabled by design. We suppo...
2026-09-23,Statista,40,rollout;size,"+30 ""Engineering Manager - Go-to-Market (m/f/d)"" mentions AI adoption across the company | +10 looks mid-size or large (12 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/statista/engineering-manager-go-to-market-hamburg-or-berlin-303314,https://www.arbeitnow.com/jobs/companies/statista/data-analytics-engineer-hamburg-or-berlin-317958,,Hamburg or Berlin; Hamburg,arbeitnow,...and the migration of legacy services to our modern technology stack. Drive the adoption of AI-native engineering practices by integrating agentic development workf...
2026-09-23,dmTECH GmbH,30,rollout,"+30 ""Platform Engineer - AI & DevOps (w/m/d)"" mentions AI for the whole company",https://www.arbeitsagentur.de/jobsuche/jobdetail/12787-268129250826-S,,,"Karlsruhe, Baden, DEUTSCHLAND",bundesagentur,"...t, betrieben und genutzt wird. Deshalb möchten wir die Potenziale von KI gezielt in unsere Prozesse und Plattformen integrieren. Zur Verstärkung unseres Teams suchen wir..."
